Percentile	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0
Group	humid subtropical	humid subtropical	humid subtropical	humid subtropical	humid subtropical	marine west coast	marine west coast	marine west coast	marine west coast	marine west coast	mediterranean	mediterranean	mediterranean	mediterranean	mediterranean	oceanic subtropical highland	oceanic subtropical highland	oceanic subtropical highland	oceanic subtropical highland	oceanic subtropical highland	tropical and subtropical desert	tropical and subtropical desert	tropical and subtropical desert	tropical and subtropical desert	tropical and subtropical desert	tropical and subtropical steppe	tropical and subtropical steppe	tropical and subtropical steppe	tropical and subtropical steppe	tropical and subtropical steppe	tropical savanna	tropical savanna	tropical savanna	tropical savanna	tropical savanna
Bacteria;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae	1.0	147.5	258.5	359.0	893.0	1536.0	1536.0	1536.0	1536.0	1536.0	400.0	400.0	400.0	400.0	400.0	193.0	311.0	429.0	509.5	590.0	1.0	1.0	1.0	1.0	1.0	22.0	35.25	48.5	61.75	75.0	49.0	221.5	394.0	2066.5	3739.0
Bacteria;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Marinomonadaceae	1.0	15.5	28.5	395.5	29429.0	217.0	217.0	217.0	217.0	217.0	101.0	101.0	101.0	101.0	101.0	14.0	18.5	23.0	40.5	58.0	84.0	84.0	84.0	84.0	84.0	1.0	9.5	18.0	26.5	35.0	19.0	40.0	61.0	15718.0	31375.0
Bacteria;Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae	207.0	541.0	757.0	1079.5	2562.0	947.0	947.0	947.0	947.0	947.0	9284.0	9284.0	9284.0	9284.0	9284.0	445.0	1325.5	2206.0	2398.0	2590.0	99.0	99.0	99.0	99.0	99.0	5498.0	11164.25	16830.5	22496.75	28163.0	397.0	1396.0	2395.0	20063.0	37731.0
Bacteria;Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae	1.0	3.25	14.5	52.75	193.0	40.0	40.0	40.0	40.0	40.0	46.0	46.0	46.0	46.0	46.0	1.0	4.0	7.0	37.5	68.0	18.0	18.0	18.0	18.0	18.0	20.0	25.0	30.0	35.0	40.0	59.0	81.5	104.0	107.5	111.0
Bacteria;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Yersiniaceae	1.0	1.0	45.5	106.5	289.0	58.0	58.0	58.0	58.0	58.0	50.0	50.0	50.0	50.0	50.0	162.0	218.0	274.0	289.0	304.0	2615.0	2615.0	2615.0	2615.0	2615.0	1.0	6.75	12.5	18.25	24.0	26.0	45.5	65.0	111.5	158.0
Bacteria;Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae	2780.0	4227.25	11956.5	18824.0	61559.0	34723.0	34723.0	34723.0	34723.0	34723.0	4977.0	4977.0	4977.0	4977.0	4977.0	5076.0	12233.5	19391.0	28476.0	37561.0	85.0	85.0	85.0	85.0	85.0	20536.0	21933.25	23330.5	24727.75	26125.0	977.0	2872.0	4767.0	13961.5	23156.0
Bacteria;Bacteria;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae	1.0	36.0	110.0	181.0	244.0	322.0	322.0	322.0	322.0	322.0	126.0	126.0	126.0	126.0	126.0	1.0	8.5	16.0	23.0	30.0	136.0	136.0	136.0	136.0	136.0	1.0	31.75	62.5	93.25	124.0	15.0	28.5	42.0	48.5	55.0
Bacteria;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;	1.0	1.0	1.0	53.5	264.0	1.0	1.0	1.0	1.0	1.0	208.0	208.0	208.0	208.0	208.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	5.0	130.0	255.0	355.5	456.0
Bacteria;Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Weeksellaceae	1.0	2.5	23.0	45.75	64.0	1.0	1.0	1.0	1.0	1.0	128.0	128.0	128.0	128.0	128.0	15.0	36.0	57.0	85.5	114.0	1.0	1.0	1.0	1.0	1.0	8.0	10.25	12.5	14.75	17.0	1.0	8.0	15.0	36.5	58.0
Bacteria;Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	4.0	7.0	1.0	1.0	1.0	1.0	1.0	63.0	68.75	74.5	80.25	86.0	1.0	1.0	1.0	1.0	1.0
Bacteria;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Aeromonadaceae	1.0	65.75	208.5	319.0	10858.0	350.0	350.0	350.0	350.0	350.0	5676.0	5676.0	5676.0	5676.0	5676.0	36.0	39.5	43.0	994.5	1946.0	1.0	1.0	1.0	1.0	1.0	27.0	40.25	53.5	66.75	80.0	23.0	253.5	484.0	647.5	811.0
Bacteria;Bacteria;Firmicutes;Clostridia;Oscillospirales;[Eubacterium] coprostanoligenes group	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.75	2.5	3.25	4.0	1.0	1.0	1.0	1.0	1.0
Bacteria;Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae	1.0	1.0	2.0	35.25	124.0	33.0	33.0	33.0	33.0	33.0	17.0	17.0	17.0	17.0	17.0	1.0	219.0	437.0	480.5	524.0	1.0	1.0	1.0	1.0	1.0	1.0	6.5	12.0	17.5	23.0	1.0	1.0	1.0	16.0	31.0
Bacteria;Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae	1.0	1.0	1.0	2.5	6.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	7.0	13.0	1.0	1.0	1.0	1.0	1.0	67.0	143.0	219.0	295.0	371.0	1.0	3.5	6.0	14.5	23.0
Bacteria;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae	1.0	32.25	62.5	106.25	329.0	253.0	253.0	253.0	253.0	253.0	437.0	437.0	437.0	437.0	437.0	112.0	132.5	153.0	244.0	335.0	1.0	1.0	1.0	1.0	1.0	12.0	30.75	49.5	68.25	87.0	1.0	102.0	203.0	297.5	392.0
Bacteria;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	26.0	26.0	26.0	26.0	26.0	1.0	1.0	1.0	4.0	7.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	6.0	11.0
Bacteria;Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae	1.0	1.0	1.0	14.5	55.0	62.0	62.0	62.0	62.0	62.0	19.0	19.0	19.0	19.0	19.0	1.0	6.5	12.0	13.5	15.0	1.0	1.0	1.0	1.0	1.0	12.0	13.5	15.0	16.5	18.0	1.0	7.5	14.0	29.0	44.0
Bacteria;Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae	1.0	1.0	1.0	1.0	19.0	10.0	10.0	10.0	10.0	10.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	11.5	22.0	1.0	1.0	1.0	1.0	1.0	109.0	412.25	715.5	1018.75	1322.0	1.0	1.0	1.0	7.0	13.0
Bacteria;Bacteria;Deinococcota;Deinococci;Thermales;Thermaceae	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	3.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Bacteria;Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae	27.0	56.5	127.5	188.0	420.0	179.0	179.0	179.0	179.0	179.0	165.0	165.0	165.0	165.0	165.0	40.0	41.0	42.0	90.5	139.0	110.0	110.0	110.0	110.0	110.0	80.0	87.25	94.5	101.75	109.0	102.0	118.5	135.0	304.5	474.0
Bacteria;Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Micrococcaceae	1.0	1.0	1.0	1.0	1.0	13.0	13.0	13.0	13.0	13.0	64.0	64.0	64.0	64.0	64.0	1.0	1.0	1.0	15.0	29.0	1.0	1.0	1.0	1.0	1.0	1.0	3.75	6.5	9.25	12.0	1.0	1.0	1.0	1.0	1.0
Bacteria;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;MB19	1.0	15.75	114.0	180.75	4950.0	97.0	97.0	97.0	97.0	97.0	2141.0	2141.0	2141.0	2141.0	2141.0	1.0	8.0	15.0	438.0	861.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	46.0	91.0	428.5	766.0
Bacteria;Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae	5.0	145.75	217.0	778.75	1319.0	394.0	394.0	394.0	394.0	394.0	285.0	285.0	285.0	285.0	285.0	78.0	236.5	395.0	667.5	940.0	9.0	9.0	9.0	9.0	9.0	57.0	119.25	181.5	243.75	306.0	34.0	86.5	139.0	400.0	661.0
Bacteria;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Erwiniaceae	1.0	1.0	1.0	28.0	40.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	22.0	43.0	59.5	76.0	312.0	312.0	312.0	312.0	312.0	1.0	6.0	11.0	16.0	21.0	1.0	1.0	1.0	1.0	1.0
Bacteria;Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae	1.0	1.0	1.0	1.0	1.0	13.0	13.0	13.0	13.0	13.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	6.5	12.0	1.0	1.0	1.0	1.0	1.0	1.0	1.75	2.5	3.25	4.0	1.0	1.0	1.0	1.0	1.0
Bacteria;Bacteria;Firmicutes;Clostridia;Clostridia UCG-014;	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	15.0	16.0	17.0	18.0	19.0	1.0	1.0	1.0	1.0	1.0
Bacteria;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	13.0	20.0	27.0	34.0	41.0	1.0	1.0	1.0	1.0	1.0
Bacteria;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	15.0	24.0	33.0	42.0	51.0	1.0	1.0	1.0	3.5	6.0
Bacteria;Bacteria;Campylobacterota;Campylobacteria;Campylobacterales;Arcobacteraceae	1.0	1.0	1.0	1.0	1.0	6.0	6.0	6.0	6.0	6.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.5	4.0	5.0	6.0
Bacteria;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Marinifilaceae	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	3.25	5.5	7.75	10.0	1.0	1.0	1.0	1.0	1.0
Bacteria;Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae	1.0	1.0	1.0	1.0	1.0	10.0	10.0	10.0	10.0	10.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Bacteria;Bacteria;Firmicutes;Bacilli;Bacillales;Planococcaceae	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	5.5	10.0	14.5	19.0	1.0	1.0	1.0	9.5	18.0
Bacteria;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Vibrionaceae	1.0	1.0	1.0	1.0	66.0	42.0	42.0	42.0	42.0	42.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	27.5	54.0	581.0	1108.0
Bacteria;Bacteria;Firmicutes;Bacilli;Lactobacillales;Listeriaceae	1.0	1.0	1.0	20.5	39.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	8.0	15.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Bacteria;Bacteria;Firmicutes;Clostridia;Christensenellales;Christensenellaceae	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	3.0	1.0	1.0	1.0	1.0	1.0	8.0	11.5	15.0	18.5	22.0	1.0	1.0	1.0	1.0	1.0
